Show;Name;Acronym;Tag1;Tag2;Tag3;Description
YES;Cross-Site Request Forgery;CSRF;front;;;Cross-Site Request Forgery (CSRF) is a security vulnerability where an attacker tricks a user into performing unwanted actions on a web application. CSRF tokens are used to prevent this.
YES;Cross-Site Scripting;XSS;security;front;;Cross-Site Scripting (XSS) is a security vulnerability where an attacker injects malicious scripts into a web application. It can lead to data theft or unauthorized actions.
YES;Customer Information Control System;CICS;arsenal;;;Customer Information Control System (CICS) is a transaction processing system for mainframe computers. It handles online transaction processing (OLTP) workloads.
YES;Cybersecurity;Cyber;security;;;"""Cyber"" refers to anything related to cybersecurity, including protection against cyber threats, attacks, and vulnerabilities."
YES;Darwin;;microservice;darwin;;Darwin is one of Santander main microservices frameworks. It includes backend and frontend components, using java, javascript and python technologies.
YES;Data Definition Language;DDL;darwin;arsenal;microservice;Data Definition Language (DDL) is a subset of SQL used for defining database schema objects (tables, indexes, views). DDL statements create, modify, or delete database structures.
YES;Data Manipulation Language;DML;microservice;arsenal;;Data Manipulation Language (DML) is a subset of SQL used for querying and modifying data in a database. DML statements include SELECT, INSERT, UPDATE, and DELETE.
YES;Data Transfer Object;DTO;arsenal;darwin;;Data Transfer Object (DTO) stands for Data Transfer Object. It is a design pattern used to transfer data between layers of an application or between microservices. DTOs encapsulate data and reduce network overhead.
YES;Datapower (IBM);;api;tools;;Datapower (IBM DataPower Gateway) is an appliance used for securing, integrating, and optimizing APIs, services, and applications. It provides features like security, transformation, and caching.
YES;Deploymentconfigs;;app360;darwin;;DeploymentConfigs are objects in Kubernetes that define how applications should be deployed and scaled. They include settings for replicas, resources, and rollout strategies.
YES;Deserialization;;darwin;;;Deserialization is the process of converting serialized data (e.g., JSON, Protobuf) back into its original object or data structure. It is commonly used in APIs and data processing.
YES;Design Pattern;;microservice;darwin;;A Design Pattern is a reusable solution to a common problem in software design. It provides a template for solving specific design issues.
YES;Developer Experience;DX;front;;;DX (Developer Experience) focuses on developer's productivity and ease of use when working with tools and APIs.
YES;Docker;;app360;;;Docker is a platform for developing, shipping, and running applications in containers. Containers provide isolation and consistency across different environments.
YES;Document Object Model;DOM;front;;;Document Object Model (DOM) represents the structure of an HTML or XML document as a tree of objects. It allows programmatic access and manipulation of document elements.
YES;Domain-Specific Language ;DSL;api;microservice;arsenal;Domain-Specific Language (DSL) is a programming language or syntax tailored for a specific domain or problem. DSLs improve expressiveness and readability for specific tasks.
YES;Dynamic Application Security Testing;DAST;testing;;;Dynamic Application Security Testing (DAST) is a security testing technique that analyzes running applications for vulnerabilities. It simulates attacks and assesses security from the outside.
YES;End of File;EOF;gluon;;;EOF (End of File) indicates the end of a file or data set. It is a marker used by programs to detect the end of data.
YES;End to End;E2E;gluon;;;End-to-End (E2E) testing is a type of software testing that validates the entire application flow, including user interactions, data processing, and integrations. E2E tests ensure that all components work together as expected.
YES;Enterprise Integration Pattern;EIP;api;microservice;;Enterprise Integration Patterns (EIPs) are design patterns for integrating applications and systems. EIPs provide solutions for common integration challenges, such as message routing, transformation, and error handling.
YES;Environment;env;gluon;;;Typically refers to environment variables in software development. Environment variables store configuration settings or runtime information for applications.
YES;Ephemeral Runner;;app360;;;An ephemeral runner is a temporary CI/CD agent that spins up for a specific job or pipeline execution and terminates afterward.
YES;Event;;gluon;;;An event is a significant occurrence or change in a system. Events can trigger actions, workflows, or notifications.
YES;Extensible Markup Language;XML;gluon;;;Extensible Markup Language (XML) is a markup language that defines rules for encoding documents in a format that is both human-readable and machine-readable.
YES;External APIs;;api;;;"APIs for ""non-Santander Group"" applications (partners)"
YES;File Transfer Protocol;FTP;gluon;;;File Transfer Protocol (FTP) is a standard network protocol for transferring files between a client and a server over a network.
YES;Finantial Operations;FinOps;app360;;;FinOps (Financial Operations) is a practice that combines financial management with cloud operations. It focuses on optimizing cloud spending and resource allocation.
YES;formData;;front;;;refers to data submitted from an HTML form. It includes user input (such as text, checkboxes, or file uploads) sent to a server for processing.
YES;Fortify;;security;;;Fortify is a security tool that helps detect and mitigate certain types of attacks, including Cross-Site Scripting (XSS) and data injection attacks.
YES;Fortify Project Report;FPR;security;;;A Fortify Project Report (FPR) is a binary file generated by Fortify Static Code Analyzer. It contains scan results, vulnerabilities, and recommendations for improving code security.
YES;GateException;;testing;;;Exceptions to avoid quality gates actions application
YES;Gateway;;gluon;;;A network device or software component that acts as an entry point to a larger network or system. It often performs tasks like load balancing, security, and routing.
YES;Gherkin;;testing;bdd;;Gherkin is a plain-text language used for writing behavior-driven development (BDD) test scenarios. It is human-readable and serves as input for automated testing tools.
YES;Git;;gluon;;;A distributed version control system used for tracking changes in source code during software development. It allows collaboration and code management.
YES;Gitconfig;;gluon;;;gitconfig is a configuration file for Git (.gitconfig), a version control system. It stores user-specific settings and preferences for Git commands and behavior.
YES;GitFlow;;app360;;;GitFlow is a branching model for Git repositories that defines a set of rules for managing branches. It provides a structured approach for feature development, bug fixes, and releases.
YES;GitHub;GH;gluon;;;A web-based platform for hosting and collaborating on Git repositories. It provides features like version control, issue tracking, and pull requests.
YES;GitHub Advanced Rest Client;GitHub ARC;testing;api;tools;GitHub Advanced REST Client (ARC) is a tool for testing and interacting with RESTful APIs. It allows developers to send HTTP requests and view responses.
YES;GitHub Command Line Interface;GH CLI;gluon;;;A command-line tool for interacting with GitHub repositories. It allows users to create, view, and manage GitHub resources from the terminal.
YES;GitHub GitHub Enterprise Managed User Account;GitHub EMU;gluon;;;A user account managed within a GitHub Enterprise instance. It allows collaboration on private repositories within an organization.
YES;GitHub Personal Access Token;GitHub PAT;gluon;;;GitHub Personal Access Token (PAT) is an authentication token used to access GitHub APIs. It allows users or applications to authenticate and interact with GitHub repositories programmatically.
YES;Global Oauth Server;GOS;api;security;;Santander Global OAuth Server (Refers to SOS)
YES;GNU Privacy Guard Key;GPG Key;gluon;;;A cryptographic key used for secure communication and data integrity. It is commonly used for signing and encrypting emails or files.
YES;Google App Script Services;GASS;testing;;;A cloud-based scripting language for automating tasks in Google Workspace (formerly G Suite) applications.
YES;Gradle;;arsenal;;;Gradle is a build automation tool used for building, testing, and deploying software projects. It uses Groovy or Kotlin DSL for defining build scripts.
YES;Grafana;;gluon;tools;;Grafana is an open-source monitoring and observability platform. It allows users to create dashboards, visualize data, and set up alerts for various metrics.
YES;GraphQL;;api;microservice;;GraphQL is a query language for APIs. It allows clients to request specific data from a server, enabling efficient and flexible data retrieval.
YES;Gross Domestic Product;GDP;;;;Gross Domestic Product (GDP) is the total value of all goods and services produced within a country's borders. It is a key economic indicator.
YES;gRPC Remote Procedure Call;gRPC;microservice;;;gRPC (gRPC Remote Procedure Calls) is a cross-platform open-source high-performance remote procedure call (RPC) framework. It uses HTTP/2 for communication and Protocol Buffers for serialization. gRPC is commonly used for microservices communication.
YES;Harbor;;app360;tools;;Harbor is an open-source container registry that allows users to store, manage, and distribute Docker images. It provides security features and replication capabilities.
YES;HashiCorp;;gluon;tools;;HashiCorp is and software company develops infrastructure automation tools, including Terraform (for infrastructure as code), Vault (for secrets management), and Consul (for service discovery).
YES;Hello World example;HelloWorld;gluon;;;"""Hello, World!"" is a simple program or script used for testing and learning. It typically prints the phrase ""Hello, World!"" to the console."
YES;HotFix;;gluon;;;A HotFix is a small, urgent software update or patch that addresses critical issues or security vulnerabilities. It is typically applied to production systems without delay.
YES;HTTP Basic Authentication;;front;api;microservice;HTTP Basic Authentication is a simple authentication mechanism where the client sends credentials (username and password) in the HTTP request header.
YES;HTTP Header;HTTP Header;front;api;microservice;An HTTP Header is a part of an HTTP request or response that provides additional information about the message. It includes metadata such as content type, encoding, authentication, and caching directives.
YES;HTTP Request;HTTP Request;front;api;microservice;An HTTP request is a message sent by a client (usually a web browser) to a server. It specifies the action the client wants the server to perform.
YES;HTTP Response;HTTP Response;front;api;microservice;An HTTP response is the server's reply to an HTTP request. It includes status codes, headers, and the content requested by the client.
YES;HTTP verb DELETE;HTTP DELETE;front;api;microservice;HTTP DELETE is a request method used to remove a resource from a server. It deletes the specified resource.
YES;HTTP verb GET;HTTP GET;front;api;microservice;HTTP GET is a request method used to retrieve data from a server. It is commonly used in web APIs to fetch information.
YES;HTTP verb HEAD;HTTP HEAD;front;api;microservice;HTTP HEAD is a request method that is similar to GET but retrieves only the headers of a resource without fetching the actual content. It is useful for checking resource availability and metadata.
YES;HTTP verb OPTIONS;HTTP OPTIONS;front;api;microservice;HTTP OPTIONS is a request method used to retrieve information about the communication options available for a resource. It provides details about supported methods and headers.
YES;HTTP verb PATCH;HTTP PATCH;front;api;microservice;HTTP PATCH is a request method used to apply partial modifications to a resource. It updates only the specified fields of the resource.
YES;HTTP verb POST;HTTP POST;front;api;microservice;HTTP POST is a request method used to send data to a server. It is commonly used for creating or updating resources via web APIs.
YES;HTTP verb PUT;HTTP PUT;front;api;microservice;HTTP PUT is a request method used to update existing data on a server. It replaces the entire resource with the new data provided.
YES;HTTP Verbs;HTTP Verbs;front;api;microservice;HTTP verbs (also known as HTTP methods) define the actions that can be performed on resources. Common HTTP verbs include GET, POST, PUT, DELETE, PATCH, OPTIONS, and HEAD.
YES;Hypersonic SQL;HSQL;arsenal;;;HSQL (Hypersonic SQL) is an open-source relational database management system written in Java. It is often used for testing and prototyping.
YES;Hypertext as the Engine of Application State;HATEOAS;api;microservice;front;Hypertext as the Engine of Application State (HATEOAS) is a principle in RESTful APIs where hyperlinks are embedded in responses. Clients follow these links to discover and navigate available resources.
YES;Hypertext Markup Language;HTML;front;;;Hypertext Markup Language (HTML) is the standard markup language for creating web pages. It defines the structure and content of web documents.
YES;Hypertext Transfer Protocol;HTTP;front;api;microservice;Hypertext Transfer Protocol (HTTP) is the foundation of data communication on the World Wide Web. It defines how web browsers and servers communicate by exchanging requests and responses.
YES;Idempotent Operation;;api;;;An idempotent operation implies that the state of the resource will be equal to the state returned by the first invocation, regardless of the number of calls made later.
YES;Identifier;ID;gluon;;;An ID (identifier) is a unique value used to represent an entity (e.g., user, resource, or object) within a system. IDs are commonly used for database records and access control.
YES;Image (Container);;app360;;;A container image is a lightweight, standalone, and executable software package that contains an application and its dependencies. It serves as the blueprint for creating containers.
YES;Imagestreams;;app360;;;Imagestreams are objects in OpenShift (a Kubernetes distribution) that allow users to manage and tag container images. They simplify image management and promote reusability.
YES;Imposto sobre Operaçöes Financeiras;IOF;;;;Imposto sobre Operaçöes Financeiras (IOF) is a Brazilian tax on financial transactions, including loans, currency exchange, and insurance.
YES;Infinispan;;microservice;api;;Infinispan is an open-source, in-memory data grid platform used for caching and distributed data storage. It provides features like data replication, eviction, and query capabilities.
YES;Innersource;;gluon;;;Innersource is the practice of applying open-source development principles within an organization. It encourages collaboration, transparency, and sharing of code across teams.
YES;Input/Output Operations Per Second;IOPS;insights;;;Input/Output Operations Per Second (IOPS) measures the rate at which a storage device can perform read and write operations. It is crucial for assessing storage performance.
YES;Integrated Development Environment;IDE;gluon;tools;;Integrated Development Environment (IDE) is a software application that provides tools for writing, debugging, and managing code. IDEs enhance developer productivity.
YES;Inter Process Communication;IPC;microservice;;;Inter-Process Communication (IPC) refers to mechanisms that allow communication between processes or threads within an operating system.
YES;Internal APIs;;api;;;APIs for Santander Group applications (internet or intranet)
YES;International Business Machines;IBM;gluon;tools;;International Business Machines (IBM) is a multinational technology company that provides hardware, software, and services. IBM is known for its mainframe computers, cloud services, and enterprise software solutions.
YES;International Organization for Standards;ISO;gluon;;;The International Organization for Standardization (ISO) is an independent organization that develops and publishes international standards. ISO standards cover various domains, including technology.
YES;Internet Assigned Numbers Authority;IANA;arsenal;;;The Internet Assigned Numbers Authority (IANA) is responsible for managing global IP address allocation, domain names, and protocol parameters.
YES;Internet Protocol;IP;gluon;;;IP (Internet Protocol) is a network layer protocol that enables communication between devices over the internet. IPv4 and IPv6 are the two main versions of IP.
YES;IT asset;;apm;;;An IT asset refers to any hardware, software, or digital resource used within an organization’s IT infrastructure. It includes servers, laptops, software licenses, and more.
YES;IT Service Management;ITSM;apm;;;IT Service Management (ITSM) refers to the practices and processes for managing IT services within an organization. It includes incident management, change management, and service desk operations.
YES;Java API for XML Web Services;JAX-WS;java;;;Java API for XML Web Services (JAX-WS) is a Java technology for building and consuming web services. It provides a standard way to create SOAP-based services.
YES;Java Architecture for XML Binding;JAXB;java;;;Java Architecture for XML Binding (JAXB) is a Java API for mapping XML data to Java objects and vice versa. It simplifies XML processing in Java applications.
YES;Java Archive;JAR;java;;;JAR (Java Archive) is a file format used for packaging Java classes, resources, and metadata. JAR files are used for distribution and deployment.
YES;Java Database Connectivity;JDBC;java;;;Java Database Connectivity (JDBC) is a Java API for connecting to relational databases. JDBC provides methods for executing SQL queries and managing database connections.
YES;Java Development Kit;JDK;java;;;Java Development Kit (JDK) is a software development environment for building Java applications. It includes the Java compiler, runtime libraries, and tools.
YES;Java KeyStore ;JKS;microservice;security;api;A Java KeyStore (JKS) is a repository of security certificates, used for instance in TLS encryption. It contains authorization certificates or public key certificates along with corresponding private keys.
YES;Java Management Extensions;JMX;java;;;Java Management Extensions (JMX) is a Java technology for managing and monitoring applications. It provides APIs for instrumenting and managing resources in a Java application.
YES;Java Message Service;JMS;java;;;Java Message Service (JMS) is an API for asynchronous messaging between distributed systems. It enables communication via message queues and topics.
YES;Java Persistence API;JPA;java;;;Java Persistence API (JPA) is a standard for accessing relational databases from Java applications. JPA provides an object-relational mapping (ORM) framework.
YES;Java Persistence Query Language;JPQL;java;;;Java Persistence Query Language (JPQL) is a query language for querying JPA entities. It is similar to SQL but operates on Java objects.
YES;JavaScript;JavaScript;javascript;;;JavaScript is a widely-used programming language for web development. It runs in browsers and allows dynamic interactions on web pages.
YES;JavaScript Object Notation;JSON;javascript;;;JSON (JavaScript Object Notation) is a lightweight data interchange format. It is widely used for representing structured data in web APIs and configuration files.
YES;JFrog;;app360;tools;;JFrog provides tools for managing and distributing software artifacts. It includes JFrog Artifactory for artifact repository management.
YES;Jira;;gluon;tools;;Jira is an issue and project tracking tool by Atlassian, commonly used for bug tracking and agile development.
YES;Jira XRay;JIRA XRay;gluon;tools;;A test management tool integrated with JIRA. It allows managing test cases, execution, and reporting within JIRA.
YES;JMeter;;testing;;;Apache JMeter is a performance testing tool used for load testing, stress testing, and measuring the performance of web applications and services.
YES;Joda-Time is a Java library;JODA;java;;;Joda-Time is a Java library for date and time handling. It provides classes and methods for working with dates, times, and intervals.
